name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
raipur chhattisgarh,2025-08-14T00:00:00,26.8,29.5,23.8,83.65,0.3,100,rain,0,0,26.6,11.2,88.7,1003,100,24.1,0,0,0,10,"Rain, Overcast",rain,remote
raipur chhattisgarh,2025-08-14T01:00:00,26.7,26.7,23.7,83.64,0,0,,0,0,26.6,11.5,86.1,1003,100,24.1,0,0,0,10,Overcast,cloudy,remote
raipur chhattisgarh,2025-08-14T02:00:00,26.4,26.4,23.6,84.62,0,0,,0,0,25.6,11.2,78.2,1002,100,24.1,0,0,0,10,Overcast,cloudy,remote
raipur chhattisgarh,2025-08-14T03:00:00,25.9,25.9,23.3,85.6,0.5,100,rain,0,0,26.6,12.6,76.6,1002,93.4,7.6,0,0,0,10,"Rain, Overcast",rain,remote
raipur chhattisgarh,2025-08-14T04:00:00,25.7,25.7,23.1,85.58,0.4,100,rain,0,0,28.1,11.9,78.5,1002,88.7,24.1,0,0,0,10,"Rain, Partially cloudy",rain,remote
raipur chhattisgarh,2025-08-14T05:00:00,25.5,25.5,23.2,87.12,0,0,,0,0,27,10.8,78.5,1002,83.2,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
raipur chhattisgarh,2025-08-14T06:00:00,25.2,25.2,23.2,88.69,0.1,100,rain,0,0,25.6,11.2,60.1,1003,100,23.9,0,0,0,10,"Rain, Overcast",rain,remote
raipur chhattisgarh,2025-08-14T07:00:00,25.5,25.5,23.4,88.18,0,0,,0,0,26.3,11.5,70.5,1003,48.6,24.1,26,0.1,0,10,Partially cloudy,partly-cloudy-day,remote
raipur chhattisgarh,2025-08-14T08:00:00,26.8,29.2,23.1,80.19,0,0,,0,0,25.6,15.8,82.2,1004,99.4,24.1,210,0.8,2,10,Overcast,cloudy,remote
raipur chhattisgarh,2025-08-14T09:00:00,28,31.3,23.2,75.2,0.1,100,rain,0,0,24.1,17.6,85.5,1004,58.5,15,399,1.4,4,10,"Rain, Partially cloudy",rain,remote
raipur chhattisgarh,2025-08-14T10:00:00,29.3,33.1,23,68.89,0,0,,0,0,22.3,18.7,88.9,1004,98.2,24.1,628,2.3,6,10,Overcast,cloudy,remote
raipur chhattisgarh,2025-08-14T11:00:00,30.4,34.4,22.8,63.89,0,0,,0,0,21.6,18.7,84.4,1004,90.2,24.1,756,2.7,8,10,Overcast,cloudy,remote
raipur chhattisgarh,2025-08-14T12:00:00,31.2,35.3,22.7,60.67,0,0,rain,0,0,19.8,17.3,83.3,1003,100,24.1,788,2.8,8,10,Overcast,cloudy,remote
