datetime,temp,feelslike,humidity,windspeed,winddir,sealevelpressure,conditions
2025-08-14 00:00:00,26.8,29.5,83.65,11.2,88.7,1003.0,"Rain, Overcast"
2025-08-14 01:00:00,26.7,26.7,83.64,11.5,86.1,1003.0,Overcast
2025-08-14 02:00:00,26.4,26.4,84.62,11.2,78.2,1002.0,Overcast
2025-08-14 03:00:00,25.9,25.9,85.6,12.6,76.6,1002.0,"Rain, Overcast"
2025-08-14 04:00:00,25.7,25.7,85.58,11.9,78.5,1002.0,"Rain, Partially cloudy"
2025-08-14 05:00:00,25.5,25.5,87.12,10.8,78.5,1002.0,Partially cloudy
2025-08-14 06:00:00,25.2,25.2,88.69,11.2,60.1,1003.0,"Rain, Overcast"
2025-08-14 07:00:00,25.5,25.5,88.18,11.5,70.5,1003.0,Partially cloudy
2025-08-14 08:00:00,26.8,29.2,80.19,15.8,82.2,1004.0,Overcast
2025-08-14 09:00:00,28.0,31.3,75.2,17.6,85.5,1004.0,"Rain, Partially cloudy"
2025-08-14 10:00:00,29.3,33.1,68.89,18.7,88.9,1004.0,Overcast
2025-08-14 11:00:00,30.4,34.4,63.89,18.7,84.4,1004.0,Overcast
2025-08-14 12:00:00,31.2,35.3,60.67,17.3,83.3,1003.0,Overcast
2025-08-14 13:00:00,30.4,34.1,62.74,18.0,81.1,1002.0,Overcast
2025-08-14 14:00:00,31.6,35.6,58.23,14.8,72.8,1001.0,Partially cloudy
2025-08-14 15:00:00,32.4,36.4,54.98,14.0,69.8,1000.0,Overcast
2025-08-14 16:00:00,31.9,35.6,55.87,13.0,78.3,1000.0,Overcast
2025-08-14 17:00:00,30.5,34.8,64.69,11.2,82.3,1000.0,"Rain, Overcast"
2025-08-14 18:00:00,30.1,34.5,67.4,8.3,74.6,1000.0,"Rain, Partially cloudy"
2025-08-14 19:00:00,29.4,33.7,71.03,7.2,66.3,1000.0,"Rain, Partially cloudy"
2025-08-14 20:00:00,28.3,31.9,74.79,8.6,71.9,1001.0,"Rain, Overcast"
2025-08-14 21:00:00,28.3,31.9,74.79,8.6,90.5,1001.0,"Rain, Overcast"
2025-08-14 22:00:00,27.7,30.9,77.46,9.4,112.0,1002.0,"Rain, Overcast"
2025-08-14 23:00:00,27.5,30.8,80.28,7.6,119.8,1002.0,"Rain, Overcast"
2025-08-15 00:00:00,27.1,30.0,81.2,7.2,100.0,1002.0,"Rain, Overcast"
2025-08-15 01:00:00,27.1,29.9,80.71,7.6,87.0,1001.0,"Rain, Overcast"
2025-08-15 02:00:00,26.6,26.6,82.13,9.0,90.9,1000.0,"Rain, Overcast"
2025-08-15 03:00:00,26.4,26.4,84.11,8.6,96.1,1000.0,"Rain, Overcast"
2025-08-15 04:00:00,26.1,26.1,85.61,8.6,94.7,1000.0,"Rain, Overcast"
2025-08-15 05:00:00,26.0,26.0,85.6,8.6,90.5,1000.0,"Rain, Partially cloudy"
2025-08-15 06:00:00,25.9,25.9,86.11,7.9,100.4,1000.0,"Rain, Partially cloudy"
2025-08-15 07:00:00,26.3,26.3,85.12,6.5,92.0,1001.0,"Rain, Partially cloudy"
2025-08-15 08:00:00,27.3,30.3,80.26,9.4,93.2,1002.0,"Rain, Partially cloudy"
2025-08-15 09:00:00,28.2,32.0,77.07,10.8,89.1,1002.0,"Rain, Partially cloudy"
2025-08-15 10:00:00,29.2,33.6,72.72,10.1,70.8,1002.0,Rain
2025-08-15 11:00:00,30.3,35.2,68.26,10.8,58.8,1001.0,"Rain, Partially cloudy"
2025-08-15 12:00:00,31.3,36.6,64.47,10.4,56.3,1001.0,"Rain, Overcast"
2025-08-15 13:00:00,31.9,37.3,61.93,11.2,54.4,1000.0,"Rain, Overcast"
2025-08-15 14:00:00,31.6,36.9,63.0,11.9,64.4,999.0,"Rain, Overcast"
2025-08-15 15:00:00,31.9,37.4,62.31,10.8,84.7,998.0,"Rain, Overcast"
2025-08-15 16:00:00,31.7,37.0,62.64,10.8,93.2,997.0,"Rain, Overcast"
2025-08-15 17:00:00,31.1,36.2,64.81,11.5,88.8,997.0,"Rain, Partially cloudy"
2025-08-15 18:00:00,30.7,36.2,68.33,9.0,99.1,997.0,"Rain, Partially cloudy"
2025-08-15 19:00:00,29.4,34.5,74.52,8.3,126.1,998.0,"Rain, Partially cloudy"
2025-08-15 20:00:00,28.6,33.2,78.06,9.4,126.2,999.0,"Rain, Partially cloudy"
2025-08-15 21:00:00,28.0,31.9,79.39,10.1,123.7,999.0,"Rain, Partially cloudy"
2025-08-15 22:00:00,27.8,31.3,78.89,11.2,156.0,1000.0,"Rain, Overcast"
2025-08-15 23:00:00,27.2,30.3,82.2,10.1,211.4,1000.0,"Rain, Overcast"
2025-08-16 00:00:00,26.4,26.4,87.2,12.6,236.7,1000.0,"Rain, Overcast"
2025-08-16 01:00:00,25.8,25.8,90.35,10.8,227.6,999.0,"Rain, Overcast"
2025-08-16 02:00:00,25.8,25.8,90.35,11.2,215.7,999.0,"Rain, Partially cloudy"
2025-08-16 03:00:00,25.4,25.4,91.97,13.0,212.7,999.0,"Rain, Partially cloudy"
2025-08-16 04:00:00,25.1,25.1,93.63,12.2,220.9,999.0,"Rain, Partially cloudy"
2025-08-16 05:00:00,25.0,25.0,94.19,9.4,219.0,999.0,"Rain, Partially cloudy"
2025-08-16 06:00:00,24.9,24.9,94.75,7.9,213.8,999.0,"Rain, Partially cloudy"
2025-08-16 07:00:00,25.2,25.2,93.07,9.0,211.7,1000.0,"Rain, Partially cloudy"
2025-08-16 08:00:00,26.3,26.3,87.72,8.3,216.3,1000.0,"Rain, Partially cloudy"
2025-08-16 09:00:00,27.2,30.5,83.69,7.9,194.2,1001.0,"Rain, Partially cloudy"
2025-08-16 10:00:00,28.1,32.1,78.93,9.0,189.4,1001.0,"Rain, Partially cloudy"
2025-08-16 11:00:00,29.4,34.2,73.19,8.3,188.5,1000.0,"Rain, Partially cloudy"
2025-08-16 12:00:00,30.7,36.0,67.52,6.1,174.8,999.0,"Rain, Partially cloudy"
2025-08-16 13:00:00,31.9,37.7,63.06,4.0,134.6,998.0,"Rain, Overcast"
2025-08-16 14:00:00,31.6,36.9,63.0,6.5,123.6,997.0,"Rain, Overcast"
2025-08-16 15:00:00,31.9,37.3,61.93,7.6,144.7,997.0,"Rain, Partially cloudy"
